web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560438439-2479","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS337 - Advanced Biochemistry and Cell Biology","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS337","CBMS224"
"1560436430-380","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY344 - Neuropsychology in Clinical Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY344","PSY236"
"1560437881-1799","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGG411 - Engineering Research Thesis","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGG411","ELEC466"
"1560436198-147","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT328 - Market Research and Forecasting","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT328","null"
"1560436194-133","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT375 - Linear Models","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT375","PSY222"
"1560438539-2609","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL328 - Animal Behaviour","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL328","BIOL208"
"1560438577-2699","http://handbook.mq.edu.au/2019/Units/UGByCode","BBA360 - Business Project","http://handbook.mq.edu.au/2019/Units/UGUnit/BBA360","null"
"1560437487-1413","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS304 - Global Issues","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS304","INTS300"
"1560437709-1600","http://handbook.mq.edu.au/2019/Units/UGByCode","FRN373 - Topics in French Culture","http://handbook.mq.edu.au/2019/Units/UGUnit/FRN373","FRN336"
"1560438449-2492","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS308 - Advanced Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS308","CBMS200"
"1560436871-811","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT311 - Entrepreneurship Project","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT311","null"
"1560438539-2611","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL328 - Animal Behaviour","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL328","BIOL229"
"1560438726-2819","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS323 - Byzantium in the Age of the Emperors, 306-1453AD","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS323","null"
"1560437845-1763","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGL233 - Creative Writing 2: Concept and Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGL233","MECO210"
"1560438542-2616","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL316 - Invertebrate Biology","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL316","BIOL262"
"1560438334-2379","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP229 - Object-Oriented Programming Practices","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP229","null"
"1560438186-2223","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH451 - Early Education for Young Children with Disabilities","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH451","ECH320"
"1560438271-2295","http://handbook.mq.edu.au/2019/Units/UGByCode","CRO250 - Intermediate Croatian I","http://handbook.mq.edu.au/2019/Units/UGUnit/CRO250","CRO155"
"1560438898-2999","http://handbook.mq.edu.au/2019/Units/UGByCode","ACCG350 - Financial Statement Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/ACCG350","AFIN252"
