web-scraper-order,web-scraper-start-url,faculties,faculties-href,courses,courses-href,conditions
"1560499587-4619","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","PLAN4003
      18 UOC
      Planning Thesis","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/PLAN4003/?browseByFaculty=FacultyOfBuiltEnvironment&","Pre-requisite: PLAN4001"
"1560499729-4690","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","INTA2202
      12 UOC
      Design Practice 4: Experiment","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/INTA2202/?browseByFaculty=FacultyOfBuiltEnvironment&","null"
"1560499997-4823","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BEIL0014
      6 UOC
      Digital Making","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BEIL0014/?browseByFaculty=FacultyOfBuiltEnvironment&","Prerequisite: 96 unit of credits completed"
"1560498660-4174","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3341
      6 UOC
      Gender and Law","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3341/?browseByFaculty=FacultyOfLaw&","Prerequisite: Completion of 78 UOC in LAWS courses."
"1560497521-3652","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","INFS2608
      6 UOC
      Database Management & Big Data Infrastructures","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/INFS2608/?browseByFaculty=UnswBusinessSchool&","Prerequisite: INFS1603"
"1560501359-5478","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS1210
      6 UOC
      Concepts of Asia","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS1210/?browseByFaculty=FacultyOfArtsAndSocialSciences&","null"
"1560501900-5741","https://www.handbook.unsw.edu.au/","DVC (Academic) Board of Studies","https://www.handbook.unsw.edu.au/DvcacademicBoardOfStudies/browse?id=5fa56ceb4f0093004aa6eb4f0310c7b3","REGZ9000
      3 UOC
      University Orientation and Study Skills (UPP) 1","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/REGZ9000/?browseByFaculty=DvcacademicBoardOfStudies&","null"
"1560498284-4022","https://www.handbook.unsw.edu.au/","Faculty of Medicine","https://www.handbook.unsw.edu.au/FacultyOfMedicine/browse?id=5fa56ceb4f0093004aa6eb4f0310c7b0","PHAR2011
      6 UOC
      Introductory Pharmacology and Toxicology","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/PHAR2011/?browseByFaculty=FacultyOfMedicine&","Prerequisite: 6 UOC Level 1 Biology (preferably BABS1201), 12 UOC level 1 Chemistry, 6 UOC level 1 Mathematics and Physiology 1A (Note: Medicinal Chemistry students receive a special exemption from requiring Physiology 1A)"
"1560498751-4218","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3165
      6 UOC
      Islamic Law and Society","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3165/?browseByFaculty=FacultyOfLaw&","Prerequisite: Completion of 78 UOC in LAWS courses."
"1560499907-4778","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BLDG1023
      6 UOC
      Construction Project Management Theory","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BLDG1023/?browseByFaculty=FacultyOfBuiltEnvironment&","Program 3331 3332"
"1560498692-4189","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3302
      6 UOC
      Land and Environment Court Clinic","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3302/?browseByFaculty=FacultyOfLaw&","Prerequisite: Completion of 78 UOC in LAWS courses including Administrative Law (LAWS1160) and Equity and Trusts (LAWS2385)."
"1560498575-4132","https://www.handbook.unsw.edu.au/","Faculty of Law","https://www.handbook.unsw.edu.au/FacultyOfLaw/browse?id=57a56ceb4f0093004aa6eb4f0310c7b0","LAWS3532
      6 UOC
      Cyberspace Law 2.0","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/LAWS3532/?browseByFaculty=FacultyOfLaw&","Prerequisite: Restricted to students enrolled in Legal Studies. Academic Program must be either 4055 or 3408 or 4054 or 4053"
"1560499353-4507","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","COMP3121
      6 UOC
      Algorithms and Programming Techniques","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3121/?browseByFaculty=FacultyOfEngineering&","Prerequisite: COMP1927 or COMP2521"
"1560497685-3733","https://www.handbook.unsw.edu.au/","UNSW Business School","https://www.handbook.unsw.edu.au/UnswBusinessSchool/browse?id=5a3a1d4f4f4d97404aa6eb4f0310c77a","ECON3121
      6 UOC
      Managerial Economics","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ECON3121/?browseByFaculty=UnswBusinessSchool&","Prerequisite: ECON2101"
"1560500812-5210","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS3755
      6 UOC
      Development in Practice: Project Design","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS3755/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 48 UOC overall, including 6 UOC at level 1 and 6 UOC at level 2 in one of the following streams, Development Studies"
